order_item_id,order_id,item_name,quantity,price
I00001,O04971,Ice Cream,2,373.86
I00002,O02958,Coke,5,385.18
I00003,O02929,Burger,3,383.25
I00004,O01659,Salad,4,186.05
I00005,O03688,Burger,1,83.4
I00006,O04594,Burger,3,428.9
I00007,O02426,Salad,4,209.73
I00008,O03502,Biryani,4,420.75
I00009,O00203,Salad,1,424.73
I00010,O00601,Pizza,5,101.21
I00011,O02656,Salad,3,53.62
I00012,O01287,Salad,3,55.75
I00013,O03849,Salad,3,193.84
I00014,O04416,Ice Cream,1,163.11
I00015,O01699,Pasta,5,70.35
I00016,O01862,Pasta,3,209.2
I00017,O03530,Pizza,4,133.93
I00018,O03229,Coke,4,282.42
I00019,O02840,Pasta,1,146.42
I00020,O03812,Pizza,2,55.21
I00021,O01658,Fries,2,429.28
I00022,O03161,Burger,1,214.36
I00023,O04061,Coke,3,484.44
I00024,O01402,Burger,4,74.26
I00025,O03919,Burger,4,392.17
I00026,O04072,Pizza,2,107.74
I00027,O04030,Salad,1,98.78
I00028,O00871,Biryani,4,273.95
I00029,O03038,Fries,2,247.53
I00030,O02251,Coke,2,249.51
I00031,O04055,Fries,5,313.44
I00032,O00042,Fries,3,217.71
I00033,O02997,Coke,5,166.74
I00034,O00733,Burger,1,307.03
I00035,O04542,Pasta,2,330.45
I00036,O04055,Pizza,3,154.25
I00037,O03042,Pizza,2,99.06
I00038,O01419,Coke,5,106.22
I00039,O00612,Biryani,2,141.55
I00040,O01662,Coke,5,293.23
I00041,O01174,Fries,2,231.67
I00042,O03286,Fries,1,264.18
I00043,O03743,Burger,4,114.64
I00044,O00305,Salad,3,94.15
I00045,O03941,Burger,4,118.89
I00046,O01367,Fries,5,244.81
I00047,O04774,Pizza,2,390.58
I00048,O02056,Ice Cream,4,474.57
I00049,O04367,Ice Cream,2,81.63
I00050,O00815,Pasta,4,317.02
I00051,O02289,Ice Cream,3,149.9
I00052,O00787,Coke,1,332.11
I00053,O00099,Pizza,4,419.32
I00054,O00355,Coke,2,479.2
I00055,O03648,Salad,3,171.45
I00056,O03881,Salad,5,486.74
I00057,O02188,Pasta,2,479.61
I00058,O03278,Biryani,1,127.36
I00059,O04217,Pizza,2,276.4
I00060,O00971,Biryani,5,171.86
I00061,O04473,Burger,5,471.98
I00062,O01208,Biryani,2,261.76
I00063,O03279,Fries,3,125.27
I00064,O01238,Biryani,4,376.64
I00065,O00896,Ice Cream,4,162.26
I00066,O01020,Fries,3,285.4
I00067,O01062,Salad,3,292.37
I00068,O02910,Coke,4,106.76
I00069,O00628,Ice Cream,2,281.13
I00070,O04099,Salad,2,164.52
I00071,O00029,Salad,4,198.64
I00072,O00402,Coke,3,59.51
I00073,O02895,Ice Cream,4,469.13
I00074,O04631,Biryani,1,483.96
I00075,O01197,Fries,1,141.42
I00076,O00676,Burger,4,217.02
I00077,O03268,Pasta,2,279.74
I00078,O03332,Pasta,2,276.91
I00079,O00251,Ice Cream,4,128.59
I00080,O04555,Biryani,5,221.72
I00081,O04623,Pizza,5,474.77
I00082,O04167,Pasta,5,157.43
I00083,O02786,Burger,2,386.48
I00084,O04970,Fries,5,66.09
I00085,O04767,Burger,2,470.25
I00086,O04183,Coke,5,370.71
I00087,O01659,Pasta,5,350.24
I00088,O03531,Pasta,3,489.9
I00089,O01319,Pizza,5,274.8
I00090,O03870,Coke,5,292.78
I00091,O02251,Pizza,3,129.38
I00092,O03461,Pasta,1,107.09
I00093,O01882,Salad,5,124.55
I00094,O02212,Ice Cream,5,209.22
I00095,O04266,Biryani,4,383.76
I00096,O01846,Pizza,4,50.15
I00097,O02736,Fries,5,169.9
I00098,O01111,Coke,3,479.61
I00099,O00108,Ice Cream,5,488.39
I00100,O02214,Ice Cream,5,177.86
I00101,O03437,Pasta,1,493.52
I00102,O01194,Fries,4,387.16
I00103,O01117,Coke,3,58.48
I00104,O04981,Coke,4,343.04
I00105,O03973,Pizza,5,102.86
I00106,O00509,Salad,3,253.28
I00107,O02376,Biryani,2,431.34
I00108,O01869,Coke,3,314.53
I00109,O04263,Pasta,5,107.59
I00110,O01430,Fries,3,186.19
I00111,O02576,Fries,1,496.64
I00112,O03315,Coke,2,295.9
I00113,O02427,Salad,2,467.45
I00114,O04886,Ice Cream,4,272.3
I00115,O00313,Coke,4,460.41
I00116,O00552,Ice Cream,3,396.04
I00117,O03375,Biryani,2,496.71
I00118,O00193,Salad,5,344.87
I00119,O01245,Pizza,5,108.69
I00120,O01668,Pizza,1,218.26
I00121,O02010,Pizza,4,414.08
I00122,O03865,Pasta,1,458.98
I00123,O04242,Biryani,1,262.98
I00124,O02719,Pasta,1,202.03
I00125,O03737,Pasta,5,331.71
I00126,O00016,Pasta,5,190.9
I00127,O01437,Fries,3,326.61
I00128,O01154,Ice Cream,1,224.23
I00129,O00818,Biryani,1,156.77
I00130,O04330,Biryani,3,116.51
I00131,O00196,Salad,2,422.38
I00132,O02311,Pasta,5,380.04
I00133,O03404,Fries,2,460.12
I00134,O01613,Pizza,3,283.81
I00135,O02390,Ice Cream,3,281.42
I00136,O01803,Salad,2,129.4
I00137,O01980,Ice Cream,3,382.79
I00138,O04767,Burger,5,115.14
I00139,O03580,Pasta,4,140.89
I00140,O00250,Pizza,2,73.93
I00141,O03715,Pasta,2,168.91
I00142,O04181,Ice Cream,3,87.02
I00143,O01552,Pizza,3,452.75
I00144,O03318,Coke,3,369.69
I00145,O02607,Fries,3,479.63
I00146,O01977,Fries,2,138.95
I00147,O01911,Pasta,5,461.38
I00148,O02314,Fries,5,120.62
I00149,O01211,Burger,3,72.83
