order_id,customer_id,restaurant_id,partner_id,order_date,total_amount,payment_method,order_status
O00001,C0499,R0379,P0109,2023-12-12,1406.23,UPI,Delivered
O00002,C0664,R0260,P0225,2024-10-22,680.44,UPI,Cancelled
O00003,C0028,R0248,P0105,2024-03-09,910.68,Card,Returned
O00004,C0553,R0054,P0018,2024-09-28,412.06,UPI,Cancelled
O00005,C0878,R0227,P0199,2024-05-23,1126.08,UPI,Returned
O00006,C0444,R0282,P0052,2023-09-01,1001.73,Card,Cancelled
O00007,C0132,R0169,P0209,2024-01-12,946.5,Wallet,Returned
O00008,C0817,R0089,P0295,2024-11-30,967.33,Cash on Delivery,Cancelled
O00009,C0307,R0431,P0165,2024-02-24,1495.84,Wallet,Cancelled
O00010,C0287,R0402,P0144,2024-02-16,612.77,UPI,Delivered
O00011,C0957,R0235,P0091,2025-07-04,185.41,Card,Delivered
O00012,C0047,R0144,P0204,2024-02-06,1127.14,UPI,Cancelled
O00013,C0194,R0010,P0016,2025-02-22,1479.39,Cash on Delivery,Returned
O00014,C0433,R0211,P0182,2024-04-04,1249.19,Wallet,Returned
O00015,C0760,R0115,P0247,2025-07-13,465.16,UPI,Cancelled
O00016,C0217,R0396,P0267,2025-04-07,663.06,Cash on Delivery,Delivered
O00017,C0692,R0319,P0081,2023-11-12,647.79,UPI,Delivered
O00018,C0411,R0334,P0278,2024-08-24,375.44,Card,Returned
O00019,C0670,R0094,P0119,2025-06-09,524.48,Card,Delivered
O00020,C0112,R0079,P0167,2023-12-10,1270.58,Card,Returned
O00021,C0755,R0210,P0208,2024-12-22,1216.51,Wallet,Returned
O00022,C0308,R0105,P0051,2023-11-05,555.96,Cash on Delivery,Returned
O00023,C0760,R0106,P0294,2024-05-16,580.21,Cash on Delivery,Cancelled
O00024,C0390,R0132,P0230,2024-09-10,513.52,Wallet,Returned
O00025,C0529,R0262,P0183,2024-11-23,813.72,Card,Cancelled
O00026,C0064,R0471,P0255,2024-02-07,288.9,UPI,Cancelled
O00027,C0204,R0195,P0240,2024-07-15,1328.62,Cash on Delivery,Returned
O00028,C0479,R0195,P0119,2024-03-20,1494.52,Wallet,Delivered
O00029,C0423,R0081,P0001,2025-05-09,1326.04,Card,Cancelled
O00030,C0176,R0382,P0068,2024-12-15,1083.89,Wallet,Delivered
O00031,C0767,R0077,P0002,2025-06-05,377.78,,Returned
O00032,C0819,R0116,P0008,2024-10-01,770.05,Cash on Delivery,Delivered
O00033,C0575,R0468,P0051,2024-12-18,211.24,Card,Delivered
O00034,C0259,R0294,P0031,2024-04-26,464.58,Wallet,Delivered
O00035,C0425,R0224,P0024,2025-06-04,1074.84,UPI,Delivered
O00036,C0543,R0470,P0192,2024-08-19,993.89,Wallet,Returned
O00037,C0777,R0092,P0294,2024-08-24,1368.77,UPI,Returned
O00038,C0733,R0191,P0018,2024-10-15,770.5,Card,Delivered
O00039,C0167,R0124,P0262,2024-04-15,749.06,Wallet,Cancelled
O00040,C0568,R0135,P0191,2024-08-18,1106.02,Card,Delivered
O00041,C0316,R0281,P0260,2023-09-24,1309.85,Wallet,Cancelled
O00042,C0318,R0052,P0198,2023-11-22,1313.64,Card,Cancelled
O00043,C0728,R0298,P0031,2024-02-09,186.68,Cash on Delivery,Cancelled
O00044,C0848,R0444,P0296,2025-08-02,977.32,Wallet,Returned
O00045,C0730,R0090,P0149,2024-10-07,1495.99,UPI,Cancelled
O00046,C0464,R0370,P0129,2025-02-24,944.44,Cash on Delivery,Cancelled
O00047,C0363,R0171,P0293,2024-11-20,1323.54,Wallet,Cancelled
O00048,C0036,R0171,P0055,2025-05-20,199.74,UPI,Delivered
O00049,C0049,R0399,P0160,2024-04-03,1354.81,Cash on Delivery,Delivered
O00050,C0624,R0080,P0297,2023-09-19,645.46,Cash on Delivery,Delivered
O00051,C0556,R0285,P0204,2025-07-01,1040.95,Cash on Delivery,Cancelled
O00052,C0238,R0296,P0204,2023-11-28,765.25,UPI,Delivered
O00053,C0595,R0277,P0173,2024-08-25,960.11,UPI,Delivered
O00054,C0398,R0478,P0079,2025-06-25,521.04,UPI,Returned
O00055,C0651,R0072,P0282,2024-07-27,730.21,,Cancelled
O00056,C0087,R0183,P0022,2024-10-25,256.87,Wallet,Delivered
O00057,C0876,R0028,P0120,2025-08-04,822.33,Card,Returned
O00058,C0502,R0094,P0034,2025-04-02,1185.76,Card,Delivered
O00059,C0622,R0165,P0293,2025-07-30,239.62,Wallet,Cancelled
O00060,C0771,R0162,P0164,2024-07-29,1120.2,Card,Delivered
O00061,C0513,R0113,P0296,2023-09-02,598.23,,Delivered
O00062,C0025,R0342,P0108,2024-04-21,362.95,Cash on Delivery,Cancelled
O00063,C0172,R0004,P0024,2024-03-28,409.55,Cash on Delivery,Delivered
O00064,C0267,R0223,P0268,2025-07-20,935.79,Card,Cancelled
O00065,C0170,R0127,P0025,2023-09-10,213.12,Wallet,Cancelled
O00066,C0299,R0206,P0244,2024-03-22,901.74,Cash on Delivery,Returned
O00067,C0800,R0496,P0285,2025-02-20,1412.13,Wallet,Cancelled
O00068,C0652,R0402,P0059,2024-04-11,549.79,Cash on Delivery,Delivered
O00069,C0126,R0005,P0106,2024-05-23,547.5,UPI,Cancelled
O00070,C0537,R0442,P0265,2024-07-23,1067.98,Wallet,Returned
O00071,C0743,R0287,P0254,2024-05-19,957.56,Cash on Delivery,Cancelled
O00072,C0601,R0095,P0172,2023-11-07,269.32,UPI,Returned
O00073,C0461,R0360,P0092,2025-06-21,329.3,Card,Delivered
O00074,C0881,R0134,P0023,2023-10-01,899.1,UPI,Cancelled
O00075,C0626,R0198,P0297,2025-04-08,783.54,Wallet,Returned
O00076,C0985,R0192,P0250,2025-08-01,192.67,Card,Returned
O00077,C0505,R0081,P0279,2023-09-05,939.75,Card,Delivered
O00078,C0880,R0090,P0092,2024-02-08,947.86,Cash on Delivery,Delivered
O00079,C0525,R0361,P0250,2024-10-06,1036.27,Cash on Delivery,Delivered
O00080,C0345,R0476,P0235,2024-01-02,1049.3,Wallet,Delivered
O00081,C0961,R0192,P0033,2024-02-12,1025.2,Card,Cancelled
O00082,C0267,R0082,P0073,2025-04-25,778.3,Wallet,Delivered
O00083,C0744,R0050,P0055,2025-08-05,709.72,,Cancelled
O00084,C0597,R0176,P0288,2024-03-13,560.07,Wallet,Delivered
O00085,C0676,R0165,P0252,2024-11-22,1137.36,UPI,Returned
O00086,C0463,R0472,P0200,2024-02-19,1121.75,Cash on Delivery,Cancelled
O00087,C0157,R0372,P0170,2025-01-08,337.1,Card,Delivered
O00088,C0518,R0189,P0185,2023-10-30,1077.5,Card,Delivered
O00089,C0245,R0175,P0172,2023-08-28,805.88,Card,Delivered
